mode,scenario,n,mean_connect_failures,sd_connect_failures,mean_success_rate,sd_success_rate,mean_backup_selections,sd_backup_selections,mean_preemptive_failovers,sd_preemptive_failovers,mean_warm_hits,sd_warm_hits,mean_latency_sim_ms,sd_latency_sim_ms
reactive,morning-healthy,30,19.3000,6.5028,0.9977,0.0043,18.8333,6.2592,0.0000,0.0000,0.0000,0.0000,24.0933,0.3053
reactive,bad-window,30,85.9333,3.9561,0.9890,0.0103,83.7333,3.4634,0.0000,0.0000,0.0000,0.0000,20.9783,0.2366
reactive,evening-stable,30,15.0667,5.3300,0.9979,0.0047,14.7333,5.3623,0.0000,0.0000,0.0000,0.0000,24.1104,0.3504
circuit_breaker,morning-healthy,30,5.4000,1.1326,0.9893,0.0101,88.7667,12.1476,0.0000,0.0000,0.0000,0.0000,20.7750,0.6188
circuit_breaker,bad-window,30,3.1667,1.1472,0.9903,0.0089,99.8667,0.5713,0.0000,0.0000,0.0000,0.0000,20.2000,0.1786
circuit_breaker,evening-stable,30,4.9667,1.4259,0.9942,0.0079,50.8333,21.3995,0.0000,0.0000,0.0000,0.0000,21.9396,1.3223
predictive,morning-healthy,30,11.9000,3.4074,0.9990,0.0031,30.4000,11.9873,18.7000,9.8336,18.7000,9.8336,19.7957,2.5379
predictive,bad-window,30,0.0000,0.0000,1.0000,0.0000,100.0000,0.0000,100.0000,0.0000,100.0000,0.0000,0.0063,0.0147
predictive,evening-stable,30,9.0667,3.8411,0.9988,0.0038,24.6667,14.3030,15.8000,11.6008,15.8000,11.6008,19.5775,3.7877
